,bk_name,2022-03-07,2022-03-04,2022-03-03,2022-03-02,2022-03-01,2022-02-28,2022-02-25,2022-02-24,2022-02-23,2022-02-22,2022-02-21,2022-02-18,2022-02-17,2022-02-16,2022-02-15,2022-02-14,2022-02-11,2022-02-10,2022-02-09,2022-02-08,2022-02-07,2022-01-28,2022-01-27,2022-01-26,2022-01-25,2022-01-24,2022-01-21,2022-01-20,2022-01-19,2022-01-18,2022-01-17,2022-01-14,2022-01-13,2022-01-12,2022-01-11,2022-01-10,2022-01-07,2022-01-06,2022-01-05,2022-01-04,2021-12-31,2021-12-30,2021-12-29,2021-12-28,2021-12-27,2021-12-24,2021-12-23,2021-12-22,2021-12-21,2021-12-20,2021-12-17,2021-12-16,2021-12-15,2021-12-14,2021-12-13,2021-12-10,2021-12-09,2021-12-08,2021-12-07,2021-12-06,2021-12-03,2021-12-02,2021-12-01
52,电子元件,0.09278350515463918,0.29896907216494845,0.3917525773195876,0.5463917525773195,0.6494845360824743,0.5773195876288659,0.5567010309278351,0.44329896907216493,0.6391752577319587,0.23711340206185566,0.29896907216494845,0.13402061855670103,0.20618556701030927,0.1134020618556701,0.10309278350515463,0.061855670103092786,0.08247422680412371,0.13402061855670103,0.14432989690721648,0.05154639175257732,0.10309278350515463,0.09278350515463918,0.07216494845360824,0.08333333333333333,0.07291666666666667,0.10416666666666667,0.125,0.19791666666666666,0.3541666666666667,0.4270833333333333,0.4583333333333333,0.2916666666666667,0.2708333333333333,0.34375,0.23958333333333334,0.2708333333333333,0.19791666666666666,0.3541666666666667,0.3020833333333333,0.5104166666666666,0.5625,0.5416666666666666,0.3958333333333333,0.4583333333333333,0.40625,0.4,0.42105263157894735,0.3157894736842105,0.2631578947368421,0.21052631578947367,0.2631578947368421,0.47368421052631576,0.4421052631578947,0.43157894736842106,0.37894736842105264,0.35789473684210527,0.3894736842105263,0.3684210526315789,0.2631578947368421,0.47368421052631576,0.6736842105263158,0.0,0.0
53,电子化学品,0.2857142857142857,0.7619047619047619,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9523809523809523,0.38095238095238093,0.3333333333333333,0.25,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.5238095238095238,0.47619047619047616,0.5238095238095238,0.3333333333333333,0.3333333333333333,0.23809523809523808,0.38095238095238093,0.3333333333333333,0.47619047619047616,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.19047619047619047,0.09523809523809523,0.23809523809523808,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.14285714285714285,0.2857142857142857,0.23809523809523808,0.3333333333333333,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.38095238095238093,0.19047619047619047,0.5238095238095238,0.7619047619047619,0.047619047619047616,0.0
54,电机,0.25,0.3,0.4,0.5,0.55,0.6,0.5,0.35,0.65,0.35,0.45,0.25,0.25,0.35,0.2,0.2,0.15,0.2,0.2,0.1,0.0,0.0,0.0,0.05,0.05,0.05,0.1,0.1,0.15,0.15,0.35,0.3,0.25,0.3,0.15,0.2,0.1,0.25,0.2,0.35,0.5,0.45,0.35,0.3,0.2,0.15,0.2,0.2,0.25,0.35,0.4,0.5,0.45,0.35,0.4,0.35,0.4,0.4,0.3,0.45,0.7,0.0,0.0
55,电池,0.125,0.175,0.375,0.675,0.775,0.725,0.675,0.5,0.625,0.4,0.375,0.325,0.35,0.2,0.15,0.125,0.125,0.1,0.15,0.15,0.15,0.15,0.125,0.225,0.125,0.375,0.175,0.1,0.15384615384615385,0.358974358974359,0.38461538461538464,0.20512820512820512,0.20512820512820512,0.1794871794871795,0.07692307692307693,0.05128205128205128,0.07692307692307693,0.07692307692307693,0.1,0.175,0.175,0.125,0.125,0.125,0.075,0.075,0.075,0.15,0.15,0.1,0.125,0.175,0.175,0.2,0.325,0.475,0.4,0.425,0.2,0.525,0.725,0.025,0.025
56,电源设备,0.36,0.52,0.8,0.8,0.8,0.64,0.64,0.44,0.6,0.48,0.6,0.44,0.44,0.16,0.08,0.04,0.04,0.12,0.08,0.08,0.0,0.0,0.04,0.04,0.0,0.24,0.12,0.16,0.24,0.28,0.28,0.16,0.2,0.28,0.24,0.24,0.24,0.36,0.28,0.48,0.52,0.48,0.44,0.4,0.44,0.36,0.52,0.52,0.56,0.48,0.68,0.52,0.48,0.48,0.44,0.28,0.2,0.24,0.12,0.36,0.64,0.0,0.0
57,电网设备,0.2396694214876033,0.4214876033057851,0.6115702479338843,0.7603305785123967,0.7851239669421488,0.6446280991735537,0.7024793388429752,0.49586776859504134,0.7768595041322314,0.45454545454545453,0.5537190082644629,0.2644628099173554,0.21487603305785125,0.19008264462809918,0.09917355371900827,0.09090909090909091,0.08264462809917356,0.1487603305785124,0.17355371900826447,0.11570247933884298,0.0743801652892562,0.05785123966942149,0.05785123966942149,0.08264462809917356,0.03305785123966942,0.1487603305785124,0.12396694214876033,0.1322314049586777,0.3140495867768595,0.2892561983471074,0.371900826446281,0.24793388429752067,0.3305785123966942,0.33884297520661155,0.1487603305785124,0.11570247933884298,0.14049586776859505,0.2727272727272727,0.2231404958677686,0.3140495867768595,0.3140495867768595,0.32231404958677684,0.30578512396694213,0.2644628099173554,0.256198347107438,0.2396694214876033,0.3884297520661157,0.3884297520661157,0.4,0.43333333333333335,0.625,0.6333333333333333,0.6,0.425,0.39166666666666666,0.26666666666666666,0.24166666666666667,0.35,0.25833333333333336,0.43333333333333335,0.625,0.0,0.0
58,石油行业,0.6,0.85,1.0,0.9,0.75,0.75,0.8,0.85,0.8,0.75,0.75,0.55,0.5,0.4,0.45,0.4,0.45,0.6,0.5,0.5,0.3,0.05,0.05,0.05,0.0,0.05,0.1,0.1,0.5,0.45,0.5,0.5,0.75,0.75,0.8,0.9,0.85,0.8,0.75,0.75,0.65,0.6,0.6,0.6,0.5,0.65,0.8,0.7,0.7,0.55,0.85,0.9,0.6,0.65,0.65,0.65,0.75,0.85,0.65,0.75,0.8,0.0,0.0
59,纺织服装,0.47,0.46,0.58,0.61,0.48,0.41,0.47,0.26,0.64,0.54,0.69,0.48,0.43,0.45,0.21,0.26,0.14,0.27,0.22,0.2,0.12,0.08,0.02,0.07,0.09,0.13,0.21,0.27,0.52,0.4,0.66,0.58,0.78,0.82,0.78,0.7777777777777778,0.7474747474747475,0.8383838383838383,0.8181818181818182,0.7755102040816326,0.5959595959595959,0.5858585858585859,0.5656565656565656,0.5757575757575758,0.45454545454545453,0.3838383838383838,0.6262626262626263,0.7373737373737373,0.7373737373737373,0.5252525252525253,0.5252525252525253,0.6666666666666666,0.5757575757575758,0.5959595959595959,0.5454545454545454,0.6666666666666666,0.5353535353535354,0.40404040404040403,0.36363636363636365,0.4444444444444444,0.6464646464646465,0.01020408163265306,0.0
60,综合行业,0.5416666666666666,0.7916666666666666,0.875,0.88,0.88,0.84,0.8,0.72,0.92,0.76,0.8,0.6,0.48,0.52,0.4,0.4,0.36,0.52,0.4,0.24,0.12,0.04,0.0,0.0,0.04,0.12,0.12,0.12,0.36,0.24,0.56,0.52,0.52,0.56,0.52,0.52,0.48,0.56,0.56,0.68,0.56,0.4,0.36,0.44,0.48,0.52,0.68,0.8,0.76,0.68,0.72,0.84,0.8,0.68,0.6,0.68,0.6,0.6,0.52,0.68,0.84,0.0,0.0
61,美容护理,0.5,0.5,0.35714285714285715,0.5,0.42857142857142855,0.4642857142857143,0.4642857142857143,0.21428571428571427,0.5357142857142857,0.2857142857142857,0.4642857142857143,0.14285714285714285,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.03571428571428571,0.0,0.03571428571428571,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.25,0.5,0.32142857142857145,0.5714285714285714,0.5357142857142857,0.7142857142857143,0.7142857142857143,0.6785714285714286,0.6785714285714286,0.6071428571428571,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5,0.35714285714285715,0.35714285714285715,0.25,0.25,0.21428571428571427,0.25,0.42857142857142855,0.39285714285714285,0.32142857142857145,0.4642857142857143,0.5714285714285714,0.6785714285714286,0.6785714285714286,0.6428571428571429,0.6428571428571429,0.75,0.6071428571428571,0.39285714285714285,0.35714285714285715,0.6785714285714286,0.0,0.0
62,能源金属,0.42857142857142855,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.7142857142857143,1.0,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.0,0.0
63,航天航空,0.20588235294117646,0.4117647058823529,0.7352941176470589,0.8823529411764706,0.9705882352941176,0.8529411764705882,0.8235294117647058,0.9117647058823529,0.9411764705882353,0.5294117647058824,0.5,0.29411764705882354,0.4117647058823529,0.23529411764705882,0.23529411764705882,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.08823529411764706,0.14705882352941177,0.17647058823529413,0.08823529411764706,0.11764705882352941,0.08823529411764706,0.029411764705882353,0.058823529411764705,0.11764705882352941,0.20588235294117646,0.17647058823529413,0.6764705882352942,0.6764705882352942,0.6176470588235294,0.35294117647058826,0.20588235294117646,0.17647058823529413,0.20588235294117646,0.17647058823529413,0.14705882352941177,0.11764705882352941,0.11764705882352941,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.47058823529411764,0.29411764705882354,0.3235294117647059,0.3235294117647059,0.47058823529411764,0.29411764705882354,0.6470588235294118,0.7352941176470589,0.0,0.0
64,航空机场,0.0,0.4166666666666667,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.25,0.5833333333333334,0.8333333333333334,0.5,0.75,0.6666666666666666,0.75,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.75,0.8333333333333334,0.9166666666666666,0.6666666666666666,0.5833333333333334,0.9166666666666666,1.0,0.9166666666666666,1.0,1.0,0.9166666666666666,0.9166666666666666,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.5,0.5,0.6666666666666666,0.5833333333333334,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.25,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.0,0.0
65,航运港口,0.7333333333333333,0.8666666666666667,0.9666666666666667,0.9,0.8333333333333334,0.9,0.6666666666666666,0.13333333333333333,0.7333333333333333,0.7666666666666667,0.8666666666666667,0.9333333333333333,0.8,0.8666666666666667,0.6333333333333333,0.7666666666666667,0.9,0.9666666666666667,0.9333333333333333,0.8333333333333334,0.3333333333333333,0.06666666666666667,0.03333333333333333,0.1,0.06666666666666667,0.13333333333333333,0.2,0.23333333333333334,0.43333333333333335,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.9,0.9,0.9333333333333333,0.8666666666666667,0.9,0.9,0.9333333333333333,0.9333333333333333,0.6,0.5,0.5,0.43333333333333335,0.5333333333333333,0.5,0.7666666666666667,0.8666666666666667,0.9333333333333333,0.8,0.9,0.9,0.8,0.8,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9,0.9,0.9,0.9666666666666667,0.0,0.0
66,船舶制造,0.1111111111111111,0.1111111111111111,0.7777777777777778,1.0,1.0,0.6666666666666666,0.5555555555555556,0.8888888888888888,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.125,0.0,0.5,0.625,0.625,0.5,0.75,0.75,0.75,0.625,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.4444444444444444,1.0,1.0,0.1111111111111111,0.1111111111111111
67,装修建材,0.2878787878787879,0.3333333333333333,0.5151515151515151,0.5303030303030303,0.42424242424242425,0.3880597014925373,0.3880597014925373,0.2835820895522388,0.5671641791044776,0.5074626865671642,0.5671641791044776,0.5223880597014925,0.31343283582089554,0.34328358208955223,0.14925373134328357,0.13432835820895522,0.208955223880597,0.14925373134328357,0.11940298507462686,0.08955223880597014,0.08955223880597014,0.029850746268656716,0.014925373134328358,0.07462686567164178,0.05970149253731343,0.14925373134328357,0.22388059701492538,0.43283582089552236,0.5373134328358209,0.3582089552238806,0.43283582089552236,0.44776119402985076,0.6417910447761194,0.8059701492537313,0.7910447761194029,0.8507462686567164,0.7910447761194029,0.835820895522388,0.7727272727272727,0.8484848484848485,0.7727272727272727,0.7575757575757576,0.7611940298507462,0.7014925373134329,0.6865671641791045,0.5671641791044776,0.6865671641791045,0.7910447761194029,0.7761194029850746,0.6417910447761194,0.6716417910447762,0.7611940298507462,0.7164179104477612,0.7164179104477612,0.746268656716418,0.7611940298507462,0.7761194029850746,0.6567164179104478,0.6268656716417911,0.44776119402985076,0.5522388059701493,0.014925373134328358,0.014925373134328358
68,装修装饰,0.13953488372093023,0.2558139534883721,0.4418604651162791,0.46511627906976744,0.37209302325581395,0.2558139534883721,0.5116279069767442,0.37209302325581395,0.7906976744186046,0.7209302325581395,0.8372093023255814,0.7674418604651163,0.627906976744186,0.6046511627906976,0.32558139534883723,0.3488372093023256,0.3023255813953488,0.32558139534883723,0.27906976744186046,0.2558139534883721,0.06976744186046512,0.0,0.023255813953488372,0.09302325581395349,0.06976744186046512,0.13953488372093023,0.11627906976744186,0.20930232558139536,0.4418604651162791,0.3023255813953488,0.5116279069767442,0.37209302325581395,0.5813953488372093,0.6744186046511628,0.6744186046511628,0.6744186046511628,0.6511627906976745,0.7906976744186046,0.7441860465116279,0.7209302325581395,0.6046511627906976,0.46511627906976744,0.4418604651162791,0.5348837209302325,0.5348837209302325,0.5348837209302325,0.7674418604651163,0.8372093023255814,0.8809523809523809,0.7619047619047619,0.7857142857142857,0.8333333333333334,0.8333333333333334,0.8536585365853658,0.7560975609756098,0.7560975609756098,0.6585365853658537,0.6585365853658537,0.7073170731707317,0.5365853658536586,0.7073170731707317,0.0,0.0
69,计算机设备,0.0851063829787234,0.2978723404255319,0.425531914893617,0.574468085106383,0.6382978723404256,0.44680851063829785,0.5106382978723404,0.5319148936170213,0.7659574468085106,0.6170212765957447,0.7021276595744681,0.2978723404255319,0.2553191489361702,0.23404255319148937,0.2127659574468085,0.2553191489361702,0.23404255319148937,0.2765957446808511,0.2978723404255319,0.10638297872340426,0.0851063829787234,0.0851063829787234,0.06382978723404255,0.2127659574468085,0.3191489361702128,0.46808510638297873,0.5106382978723404,0.5531914893617021,0.7872340425531915,0.7872340425531915,0.8085106382978723,0.5531914893617021,0.7021276595744681,0.6382978723404256,0.5957446808510638,0.6170212765957447,0.5106382978723404,0.723404255319149,0.723404255319149,0.851063829787234,0.7021276595744681,0.6808510638297872,0.6170212765957447,0.6170212765957447,0.3829787234042553,0.425531914893617,0.6170212765957447,0.7659574468085106,0.7021276595744681,0.574468085106383,0.7021276595744681,0.851063829787234,0.7872340425531915,0.7659574468085106,0.723404255319149,0.6382978723404256,0.6595744680851063,0.6382978723404256,0.5106382978723404,0.5106382978723404,0.8723404255319149,0.0,0.0
